sentence,cryptocurrency,span_start,span_stop
This is UltraCoin sentence that contains a cryptocurrency.,ultracoin,8,17
This is UTC sentence that contains a cryptocurrency.,ultracoin,8,11
This is my sentence that PotCoin a cryptocurrency.,potcoin,25,32
This is my sentence that POT a cryptocurrency.,potcoin,25,28
This is my sentence that contains a Blakecoin,blakecoin,36,45
This is my sentence that contains a BLC,blakecoin,36,39
This is my sentence that MaxCoin a cryptocurrency.,maxcoin,25,32
This is my sentence that MAX a cryptocurrency.,maxcoin,25,28
This is my QubitCoin that contains a cryptocurrency.,qubitcoin,11,20
This is my Q2C that contains a cryptocurrency.,qubitcoin,11,14
This is my sentence that contains HunterCoin cryptocurrency.,huntercoin,34,44
This is my sentence that contains HUC cryptocurrency.,huntercoin,34,37
This is my sentence that Dash a cryptocurrency.,dash,25,29
This is my sentence that DASH a cryptocurrency.,dash,25,29
This is my sentence Counterparty contains a cryptocurrency.,counterparty,20,32
This is my sentence XCP contains a cryptocurrency.,counterparty,20,23
This is my sentence CacheCoin contains a cryptocurrency.,cachecoin,20,29
This is my sentence CACH contains a cryptocurrency.,cachecoin,20,24
This is my sentence that contains TopCoin cryptocurrency.,topcoin,34,41
This is my sentence that contains TOP cryptocurrency.,topcoin,34,37
This is my iCoin that contains a cryptocurrency.,icoin,11,16
This is my ICN that contains a cryptocurrency.,icoin,11,14
This is my Mintcoin that contains a cryptocurrency.,mintcoin,11,19
This is my MINT that contains a cryptocurrency.,mintcoin,11,15
This is my sentence Aricoin contains a cryptocurrency.,aricoin,20,27
This is my sentence ARI contains a cryptocurrency.,aricoin,20,23
This is my sentence that contains a DopeCoin,dopecoin,36,44
This is my sentence that contains a DOPE,dopecoin,36,40
This is my sentence that Auroracoin a cryptocurrency.,auroracoin,25,35
This is my sentence that AUR a cryptocurrency.,auroracoin,25,28
This is my Animecoin that contains a cryptocurrency.,animecoin,11,20
This is my ANI that contains a cryptocurrency.,animecoin,11,14
This is my Pesetacoin that contains a cryptocurrency.,pesetacoin,11,21
This is my PTC that contains a cryptocurrency.,pesetacoin,11,14
This is my sentence that Marscoin a cryptocurrency.,marscoin,25,33
This is my sentence that MARS a cryptocurrency.,marscoin,25,29
This is Cashcoin sentence that contains a cryptocurrency.,cashcoin,8,16
This is CASH sentence that contains a cryptocurrency.,cashcoin,8,12
This is my sentence that contains Riecoin cryptocurrency.,riecoin,34,41
This is my sentence that contains RIC cryptocurrency.,riecoin,34,37
This Pandacoin my sentence that contains a cryptocurrency.,pandacoin-pnd,5,14
This PND my sentence that contains a cryptocurrency.,pandacoin-pnd,5,8
This MAZA my sentence that contains a cryptocurrency.,mazacoin,5,9
This MAZA my sentence that contains a cryptocurrency.,mazacoin,5,9
This is my sentence that contains Uniform Fiscal Object cryptocurrency.,uniform-fiscal-object,34,55
This is my sentence that contains UFO cryptocurrency.,uniform-fiscal-object,34,37
This is BlackCoin sentence that contains a cryptocurrency.,blackcoin,8,17
This is BLK sentence that contains a cryptocurrency.,blackcoin,8,11
This is my sentence that LiteBar a cryptocurrency.,litebar,25,32
This is my sentence that LTB a cryptocurrency.,litebar,25,28
This is Photon sentence that contains a cryptocurrency.,photon,8,14
This is PHO sentence that contains a cryptocurrency.,photon,8,11
This is my Zeitcoin that contains a cryptocurrency.,zeitcoin,11,19
This is my ZEIT that contains a cryptocurrency.,zeitcoin,11,15
Myriad is my sentence that contains a cryptocurrency.,myriad,0,6
XMY is my sentence that contains a cryptocurrency.,myriad,0,3
This is my sentence that contains DNotes cryptocurrency.,dnotes,34,40
This is my sentence that contains NOTE cryptocurrency.,dnotes,34,38
This Skeincoin my sentence that contains a cryptocurrency.,skeincoin,5,14
This SKC my sentence that contains a cryptocurrency.,skeincoin,5,8
Einsteinium is my sentence that contains a cryptocurrency.,einsteinium,0,11
EMC2 is my sentence that contains a cryptocurrency.,einsteinium,0,4
This is my Bitcoin Scrypt that contains a cryptocurrency.,bitcoin-scrypt,11,25
This is my BTCS that contains a cryptocurrency.,bitcoin-scrypt,11,15
This is my sentence Coin(O) contains a cryptocurrency.,coin,20,27
This is my sentence CNO contains a cryptocurrency.,coin,20,23
ECC is my sentence that contains a cryptocurrency.,eccoin,0,3
ECC is my sentence that contains a cryptocurrency.,eccoin,0,3
This is my sentence that contains a MonaCoin,monacoin,36,44
This is my sentence that contains a MONA,monacoin,36,40
Rubycoin is my sentence that contains a cryptocurrency.,rubycoin,0,8
RBY is my sentence that contains a cryptocurrency.,rubycoin,0,3
This is my sentence Bela contains a cryptocurrency.,belacoin,20,24
This is my sentence BELA contains a cryptocurrency.,belacoin,20,24
This is my sentence that contains a FlutterCoin,fluttercoin,36,47
This is my sentence that contains a FLT,fluttercoin,36,39
This is my sentence OctoCoin contains a cryptocurrency.,octocoin,20,28
This is my sentence 888 contains a cryptocurrency.,octocoin,20,23
This FairCoin my sentence that contains a cryptocurrency.,faircoin,5,13
This FAIR my sentence that contains a cryptocurrency.,faircoin,5,9
This is SolarCoin sentence that contains a cryptocurrency.,solarcoin,8,17
This is SLR sentence that contains a cryptocurrency.,solarcoin,8,11
This is my sentence that contains a e-Gulden,e-gulden,36,44
This is my sentence that contains a EFL,e-gulden,36,39
This is my sentence that contains Gulden cryptocurrency.,gulden,34,40
This is my sentence that contains NLG cryptocurrency.,gulden,34,37
This is my sentence that Polcoin a cryptocurrency.,polcoin,25,32
This is my sentence that PLC a cryptocurrency.,polcoin,25,28
This is my sentence that contains a Groestlcoin,groestlcoin,36,47
This is my sentence that contains a GRS,groestlcoin,36,39
This is my sentence PetroDollar contains a cryptocurrency.,petrodollar,20,31
This is my sentence XPD contains a cryptocurrency.,petrodollar,20,23
This PLNcoin my sentence that contains a cryptocurrency.,plncoin,5,12
This PLNC my sentence that contains a cryptocurrency.,plncoin,5,9
This is my WhiteCoin that contains a cryptocurrency.,whitecoin,11,20
This is my XWC that contains a cryptocurrency.,whitecoin,11,14
This is my AsiaCoin that contains a cryptocurrency.,asiacoin,11,19
This is my AC that contains a cryptocurrency.,asiacoin,11,13
This PopularCoin my sentence that contains a cryptocurrency.,popularcoin,5,16
This POP my sentence that contains a cryptocurrency.,popularcoin,5,8
This is my Bitstar that contains a cryptocurrency.,bitstar,11,18
This is my BITS that contains a cryptocurrency.,bitstar,11,15
This is my sentence that contains a Quebecoin,quebecoin,36,45
This is my sentence that contains a QBC,quebecoin,36,39
CannaCoin is my sentence that contains a cryptocurrency.,cannacoin,0,9
CCN is my sentence that contains a cryptocurrency.,cannacoin,0,3
This is my Slothcoin that contains a cryptocurrency.,slothcoin,11,20
This is my SLOTH that contains a cryptocurrency.,slothcoin,11,16
This is my sentence that contains BlueCoin cryptocurrency.,bluecoin,34,42
This is my sentence that contains BLU cryptocurrency.,bluecoin,34,37
This is MaidSafeCoin sentence that contains a cryptocurrency.,maidsafecoin,8,20
This is MAID sentence that contains a cryptocurrency.,maidsafecoin,8,12
This is my sentence that contains a Bitcoin Plus,bitcoin-plus,36,48
This is my sentence that contains a XBC,bitcoin-plus,36,39
This is my sentence that BTCtalkcoin a cryptocurrency.,btctalkcoin,25,36
This is my sentence that TALK a cryptocurrency.,btctalkcoin,25,29
This is my sentence that NewYorkCoin a cryptocurrency.,newyorkcoin,25,36
This is my sentence that NYC a cryptocurrency.,newyorkcoin,25,28
Canada eCoin is my sentence that contains a cryptocurrency.,canada-ecoin,0,12
CDN is my sentence that contains a cryptocurrency.,canada-ecoin,0,3
Guncoin is my sentence that contains a cryptocurrency.,guncoin,0,7
GUN is my sentence that contains a cryptocurrency.,guncoin,0,3
This is my sentence that PinkCoin a cryptocurrency.,pinkcoin,25,33
This is my sentence that PINK a cryptocurrency.,pinkcoin,25,29
This is my sentence Dreamcoin contains a cryptocurrency.,dreamcoin,20,29
This is my sentence DRM contains a cryptocurrency.,dreamcoin,20,23
This is my sentence CoffeeCoin contains a cryptocurrency.,coffeecoin,20,30
This is my sentence CFC contains a cryptocurrency.,coffeecoin,20,23
This is my Energycoin that contains a cryptocurrency.,energycoin,11,21
This is my ENRG that contains a cryptocurrency.,energycoin,11,15
This is VeriCoin sentence that contains a cryptocurrency.,vericoin,8,16
This is VRC sentence that contains a cryptocurrency.,vericoin,8,11
This is my TEKcoin that contains a cryptocurrency.,tekcoin,11,18
This is my TEK that contains a cryptocurrency.,tekcoin,11,14
This is my sentence that contains Monero cryptocurrency.,monero,34,40
This is my sentence that contains XMR cryptocurrency.,monero,34,37
This is my sentence that Litecoin Plus a cryptocurrency.,litecoin-plus,25,38
This is my sentence that LCP a cryptocurrency.,litecoin-plus,25,28
This is my Curecoin that contains a cryptocurrency.,curecoin,11,19
This is my CURE that contains a cryptocurrency.,curecoin,11,15
This is my sentence that contains UnbreakableCoin cryptocurrency.,unbreakablecoin,34,49
This is my sentence that contains UNB cryptocurrency.,unbreakablecoin,34,37
This is my sentence that contains a CryptCoin,cryptcoin,36,45
This is my sentence that contains a CRYPT,cryptcoin,36,41
This is my sentence that SuperCoin a cryptocurrency.,supercoin,25,34
This is my sentence that SUPER a cryptocurrency.,supercoin,25,30
This is my sentence that contains BoostCoin cryptocurrency.,boostcoin,34,43
This is my sentence that contains BOST cryptocurrency.,boostcoin,34,38
This is my Hyper that contains a cryptocurrency.,hyper,11,16
This is my HYPER that contains a cryptocurrency.,hyper,11,16
This is my sentence that BitQuark a cryptocurrency.,bitquark,25,33
This is my sentence that BTQ a cryptocurrency.,bitquark,25,28
This Motocoin my sentence that contains a cryptocurrency.,motocoin,5,13
This MOTO my sentence that contains a cryptocurrency.,motocoin,5,9
CloakCoin is my sentence that contains a cryptocurrency.,cloakcoin,0,9
CLOAK is my sentence that contains a cryptocurrency.,cloakcoin,0,5
This is my sentence that contains a BitSend,bitsend,36,43
This is my sentence that contains a BSD,bitsend,36,39
This is my sentence that contains Coin2.1 cryptocurrency.,coin2-1,34,41
This is my sentence that contains C2 cryptocurrency.,coin2-1,34,36
This is my sentence Fantomcoin contains a cryptocurrency.,fantomcoin,20,30
This is my sentence FCN contains a cryptocurrency.,fantomcoin,20,23
This is my sentence that Bytecoin a cryptocurrency.,bytecoin-bcn,25,33
This is my sentence that BCN a cryptocurrency.,bytecoin-bcn,25,28
This is my sentence that contains ArtByte cryptocurrency.,artbyte,34,41
This is my sentence that contains ABY cryptocurrency.,artbyte,34,37
This is NavCoin sentence that contains a cryptocurrency.,nav-coin,8,15
This is NAV sentence that contains a cryptocurrency.,nav-coin,8,11
This is my Granite that contains a cryptocurrency.,granitecoin,11,18
This is my GRN that contains a cryptocurrency.,granitecoin,11,14
This is my sentence Donationcoin contains a cryptocurrency.,donationcoin,20,32
This is my sentence DON contains a cryptocurrency.,donationcoin,20,23
This is my sentence that contains a Piggycoin,piggycoin,36,45
This is my sentence that contains a PIGGY,piggycoin,36,41
This is my sentence that Startcoin a cryptocurrency.,startcoin,25,34
This is my sentence that START a cryptocurrency.,startcoin,25,30
This is Kore sentence that contains a cryptocurrency.,korecoin,8,12
This is KORE sentence that contains a cryptocurrency.,korecoin,8,12
This is my sentence that contains DigitalNote cryptocurrency.,digitalnote,34,45
This is my sentence that contains XDN cryptocurrency.,digitalnote,34,37
This is my sentence that contains Boolberry cryptocurrency.,boolberry,34,43
This is my sentence that contains BBR cryptocurrency.,boolberry,34,37
This is my SHACoin that contains a cryptocurrency.,shacoin,11,18
This is my SHA that contains a cryptocurrency.,shacoin,11,14
This is my sentence that BlazeCoin a cryptocurrency.,blazecoin,25,34
This is my sentence that BLZ a cryptocurrency.,blazecoin,25,28
This is HempCoin sentence that contains a cryptocurrency.,hempcoin,8,16
This is THC sentence that contains a cryptocurrency.,hempcoin,8,11
This is my sentence that contains BritCoin cryptocurrency.,britcoin,34,42
This is my sentence that contains BRIT cryptocurrency.,britcoin,34,38
This is my sentence Stealth contains a cryptocurrency.,stealth,20,27
This is my sentence XST contains a cryptocurrency.,stealth,20,23
This is my sentence that TrustPlus a cryptocurrency.,trustplus,25,34
This is my sentence that TRUST a cryptocurrency.,trustplus,25,30
Clams is my sentence that contains a cryptocurrency.,clams,0,5
CLAM is my sentence that contains a cryptocurrency.,clams,0,4
This is my sentence that contains Quatloo cryptocurrency.,quatloo,34,41
This is my sentence that contains QTL cryptocurrency.,quatloo,34,37
This is my BitShares that contains a cryptocurrency.,bitshares,11,20
This is my BTS that contains a cryptocurrency.,bitshares,11,14
BitcoinDark is my sentence that contains a cryptocurrency.,bitcoindark,0,11
BTCD is my sentence that contains a cryptocurrency.,bitcoindark,0,4
Truckcoin is my sentence that contains a cryptocurrency.,truckcoin,0,9
TRK is my sentence that contains a cryptocurrency.,truckcoin,0,3
This is my sentence Viacoin contains a cryptocurrency.,viacoin,20,27
This is my sentence VIA contains a cryptocurrency.,viacoin,20,23
This is my sentence that contains Triangles cryptocurrency.,triangles,34,43
This is my sentence that contains TRI cryptocurrency.,triangles,34,37
This is my sentence that contains I/O Coin cryptocurrency.,iocoin,34,42
This is my sentence that contains IOC cryptocurrency.,iocoin,34,37
This is Cryptonite sentence that contains a cryptocurrency.,cryptonite,8,18
This is XCN sentence that contains a cryptocurrency.,cryptonite,8,11
This is my sentence Carboncoin contains a cryptocurrency.,carboncoin,20,30
This is my sentence CARBON contains a cryptocurrency.,carboncoin,20,26
CannabisCoin is my sentence that contains a cryptocurrency.,cannabiscoin,0,12
CANN is my sentence that contains a cryptocurrency.,cannabiscoin,0,4
This is my Stellar that contains a cryptocurrency.,stellar,11,18
This is my XLM that contains a cryptocurrency.,stellar,11,14
This is my Titcoin that contains a cryptocurrency.,titcoin,11,18
This is my TIT that contains a cryptocurrency.,titcoin,11,14
Virtacoin is my sentence that contains a cryptocurrency.,virtacoin,0,9
VTA is my sentence that contains a cryptocurrency.,virtacoin,0,3
This is HyperStake sentence that contains a cryptocurrency.,hyperstake,8,18
This is HYP sentence that contains a cryptocurrency.,hyperstake,8,11
This is my sentence that contains a Joincoin,joincoin,36,44
This is my sentence that contains a J,joincoin,36,37
This is my sentence that Syscoin a cryptocurrency.,syscoin,25,32
This is my sentence that SYS a cryptocurrency.,syscoin,25,28
This is my Bitmark that contains a cryptocurrency.,bitmark,11,18
This is my BTM that contains a cryptocurrency.,bitmark,11,14
Halcyon is my sentence that contains a cryptocurrency.,halcyon,0,7
HAL is my sentence that contains a cryptocurrency.,halcyon,0,3
This is my sentence that Storjcoin X a cryptocurrency.,storjcoin-x,25,36
This is my sentence that SJCX a cryptocurrency.,storjcoin-x,25,29
This is my sentence that contains NeosCoin cryptocurrency.,neoscoin,34,42
This is my sentence that contains NEOS cryptocurrency.,neoscoin,34,38
This is my sentence that contains a Emercoin,emercoin,36,44
This is my sentence that contains a EMC,emercoin,36,39
This is RabbitCoin sentence that contains a cryptocurrency.,rabbitcoin,8,18
This is RBBT sentence that contains a cryptocurrency.,rabbitcoin,8,12
This is my Burst that contains a cryptocurrency.,burst,11,16
This is my BURST that contains a cryptocurrency.,burst,11,16
This is my sentence that contains GameCredits cryptocurrency.,gamecredits,34,45
This is my sentence that contains GAME cryptocurrency.,gamecredits,34,38
This is my sentence that WeAreSatoshi a cryptocurrency.,wearesatoshi,25,37
This is my sentence that WSX a cryptocurrency.,wearesatoshi,25,28
This Ubiq my sentence that contains a cryptocurrency.,ubiq,5,9
This UBQ my sentence that contains a cryptocurrency.,ubiq,5,8
This is my sentence that contains BunnyCoin cryptocurrency.,bunnycoin,34,43
This is my sentence that contains BUN cryptocurrency.,bunnycoin,34,37
This is Opal sentence that contains a cryptocurrency.,opal,8,12
This is OPAL sentence that contains a cryptocurrency.,opal,8,12
Acoin is my sentence that contains a cryptocurrency.,acoin,0,5
ACOIN is my sentence that contains a cryptocurrency.,acoin,0,5
FoldingCoin is my sentence that contains a cryptocurrency.,foldingcoin,0,11
FLDC is my sentence that contains a cryptocurrency.,foldingcoin,0,4
This is my sentence that contains bitUSD cryptocurrency.,bitusd,34,40
This is my sentence that contains BITUSD cryptocurrency.,bitusd,34,40
This is bitCNY sentence that contains a cryptocurrency.,bitcny,8,14
This is BITCNY sentence that contains a cryptocurrency.,bitcny,8,14
This bitBTC my sentence that contains a cryptocurrency.,bitbtc,5,11
This BITBTC my sentence that contains a cryptocurrency.,bitbtc,5,11
This is NuBits sentence that contains a cryptocurrency.,nubits,8,14
This is USNBT sentence that contains a cryptocurrency.,nubits,8,13
Sterlingcoin is my sentence that contains a cryptocurrency.,sterlingcoin,0,12
SLG is my sentence that contains a cryptocurrency.,sterlingcoin,0,3
This is my sentence that contains a Magi,magi,36,40
This is my sentence that contains a XMG,magi,36,39
This ExclusiveCoin my sentence that contains a cryptocurrency.,exclusivecoin,5,18
This EXCL my sentence that contains a cryptocurrency.,exclusivecoin,5,9
This is my sentence that Trollcoin a cryptocurrency.,trollcoin,25,34
This is my sentence that TROLL a cryptocurrency.,trollcoin,25,30
This is my sentence that contains SuperNET cryptocurrency.,supernet-unity,34,42
This is my sentence that contains UNITY cryptocurrency.,supernet-unity,34,39
This is GlobalBoost-Y sentence that contains a cryptocurrency.,globalboost-y,8,21
This is BSTY sentence that contains a cryptocurrency.,globalboost-y,8,12
This DigitalPrice my sentence that contains a cryptocurrency.,digitalprice,5,17
This DP my sentence that contains a cryptocurrency.,digitalprice,5,7
This is my sentence that Prime-XI a cryptocurrency.,prime-xi,25,33
This is my sentence that PXI a cryptocurrency.,prime-xi,25,28
Bitswift is my sentence that contains a cryptocurrency.,bitswift,0,8
BITS is my sentence that contains a cryptocurrency.,bitswift,0,4
Dashcoin is my sentence that contains a cryptocurrency.,dashcoin,0,8
DSH is my sentence that contains a cryptocurrency.,dashcoin,0,3
AurumCoin is my sentence that contains a cryptocurrency.,aurumcoin,0,9
AU is my sentence that contains a cryptocurrency.,aurumcoin,0,2
This is my sentence Sativacoin contains a cryptocurrency.,sativacoin,20,30
This is my sentence STV contains a cryptocurrency.,sativacoin,20,23
This is Verge sentence that contains a cryptocurrency.,verge,8,13
This is XVG sentence that contains a cryptocurrency.,verge,8,11
This is my sentence that contains NuShares cryptocurrency.,nushares,34,42
This is my sentence that contains NSR cryptocurrency.,nushares,34,37
This is my sentence that contains SpreadCoin cryptocurrency.,spreadcoin,34,44
This is my sentence that contains SPR cryptocurrency.,spreadcoin,34,37
This is my sentence that contains Rimbit cryptocurrency.,rimbit,34,40
This is my sentence that contains RBT cryptocurrency.,rimbit,34,37
This is MonetaryUnit sentence that contains a cryptocurrency.,monetaryunit,8,20
This is MUE sentence that contains a cryptocurrency.,monetaryunit,8,11
This Blocknet my sentence that contains a cryptocurrency.,blocknet,5,13
This BLOCK my sentence that contains a cryptocurrency.,blocknet,5,10
This is my sentence that contains a Gapcoin,gapcoin,36,43
This is my sentence that contains a GAP,gapcoin,36,39
This is my sentence that contains a TittieCoin,tittiecoin,36,46
This is my sentence that contains a TTC,tittiecoin,36,39
This is my sentence Crown contains a cryptocurrency.,crown,20,25
This is my sentence CRW contains a cryptocurrency.,crown,20,23
This is my sentence BitBay contains a cryptocurrency.,bitbay,20,26
This is my sentence BAY contains a cryptocurrency.,bitbay,20,23
This GCN Coin my sentence that contains a cryptocurrency.,gcn-coin,5,13
This GCN my sentence that contains a cryptocurrency.,gcn-coin,5,8
This Quotient my sentence that contains a cryptocurrency.,quotient,5,13
This XQN my sentence that contains a cryptocurrency.,quotient,5,8
This is my Bytecent that contains a cryptocurrency.,bytecent,11,19
This is my BYC that contains a cryptocurrency.,bytecent,11,14
This Bitcoin Fast my sentence that contains a cryptocurrency.,bitcoinfast,5,17
This BCF my sentence that contains a cryptocurrency.,bitcoinfast,5,8
This is my OKCash that contains a cryptocurrency.,okcash,11,17
This is my OK that contains a cryptocurrency.,okcash,11,13
This PayCoin my sentence that contains a cryptocurrency.,paycoin2,5,12
This XPY my sentence that contains a cryptocurrency.,paycoin2,5,8
This is my sentence that contains vTorrent cryptocurrency.,vtorrent,34,42
This is my sentence that contains VTR cryptocurrency.,vtorrent,34,37
This is my sentence that bitGold a cryptocurrency.,bitgold,25,32
This is my sentence that BITGOLD a cryptocurrency.,bitgold,25,32
This is my sentence that contains a Unitus,unitus,36,42
